T_set,Quebec,Newfoundland and Labrador,British Columbia,New Brunswick,Nova Scotia,Saskatchewan,Alberta,Prince Edward Island,Manitoba,Ontario,Canada
285.15,0.0005902521896310807,0.0004234414510946628,0.0006520781572530381,0.0005184366471547592,0.0005348841871908483,0.0004421822403621343,0.0005772915279629134,0.0004704906523184361,0.0004391605531388811,0.0005135782396625217,0.0004154672311396362
286.15,0.0005619189178147435,0.00039853487136774025,0.0005732882458519058,0.0004925415050181341,0.0005018682729051753,0.0004271485937424295,0.0005471366460589517,0.00044737157404735865,0.00042583213690261653,0.0004870453344380591,0.000396913661839087
287.15,0.0005355187888787904,0.0003764046689983209,0.0005125545289746159,0.000468770256533281,0.00047208284491219666,0.0004128888841717055,0.000519375252914278,0.00042576145570597467,0.0004130082170264689,0.00046303186651452786,0.00037975583144255365
288.15,0.0005107765015034364,0.00035647792578534493,0.0004644997489458034,0.00044679005156490775,0.00044549797066731876,0.000399297513231777,0.0004938089889632738,0.00040606122925187507,0.00040072626954974246,0.0004411270286382832,0.0003639000083758881
289.15,0.0004875584205347308,0.00033851324275318184,0.00042550948605302245,0.000426314757751275,0.0004217171380841071,0.0003863245483943357,0.000470410887873823,0.00038802818200366247,0.00038893216134712564,0.0004209458797874374,0.0003490177802389907
290.15,0.0004658957631090394,0.00032230771507508083,0.00039268631921287456,0.00040734379601426455,0.00040013665217318475,0.000373930701585441,0.00044901085329338204,0.00037128432920263286,0.0003775441601432518,0.0004020992065795039,0.0003347699701337855
291.15,0.00044581412721555927,0.00030760216371402874,0.0003643462703449326,0.00038977879300235223,0.00038026448518356867,0.0003620528891306953,0.0004294911509539916,0.00035567464737588255,0.00036657010147437256,0.0003845187114598139,0.0003212105195688136
292.15,0.0004270742360439303,0.0002943486462416638,0.00033955577399589424,0.0003734303574178962,0.0003616125881969964,0.0003506841080871793,0.0004116667538446024,0.0003410219189574989,0.00035595302500274244,0.00036821249092060016,0.0003085308952967228
293.15,0.00040950560658864065,0.0002824022945635597,0.0003179815911545605,0.00035828164946169163,0.00034435612313913147,0.0003398091576851789,0.000395415904435216,0.00032728560143366304,0.0003457393817031481,0.0003530017624022591,0.00029676505725105085
294.15,0.0003929827910926553,0.0002717081692367703,0.000299422287219725,0.00034431236886231547,0.00032864834745163123,0.00032946443517327466,0.00038056237506212955,0.0003144733623693602,0.00033593161050861554,0.0003387827861785329,0.00028588527111643404
295.15,0.00037756109466647767,0.0002621003220867598,0.0002835191583634976,0.0003314632294826639,0.00031449048007823455,0.0003197022722150134,0.00036695857555667715,0.0003026302921430145,0.00032656805124768194,0.00032552226671787616,0.00027583203545618107
296.15,0.000363210327044754,0.0002534937345630544,0.0002699652614412381,0.00031963712707549656,0.00030189733762439136,0.0003105702126311315,0.00035449964982785427,0.00029174935783698194,0.0003176901103164994,0.00031320983129838804,0.00026661007868139584
297.15,0.00034991949514363163,0.0002457891408216963,0.0002583231823700775,0.0003087962211308195,0.0002907057256325192,0.0003020691897206896,0.0003430414825169586,0.00028181097100972083,0.0003093382007463477,0.0003018339508616921,0.0002582255702963358
298.15,0.00033763209381468127,0.0002388747610648864,0.0002482655515990671,0.0002988768449961165,0.00028071866072059846,0.00029417243697861257,0.0003325089836610036,0.0002727842595983637,0.0003015030289605551,0.00029144592625548896,0.0002506451682340485
299.15,0.0003263440319985123,0.00023262647674532049,0.00023950729501788287,0.00028982247415768666,0.0002717591406416104,0.00028684987268564477,0.0003228106153906335,0.00026460966161628044,0.0002941582279749853,0.000281991690875983,0.00024380492660584812
