year,USD_per_ton
2009.0360524320226, 179.26254351478204
2009.0838912360525, 178.49772250991532
2009.1266044539364, 179.83615926843208
2009.1266044539364, 177.39829231541938
2009.1932370738352, 179.6210533608133
2009.2444929352957, 176.79599577408683
2009.2854976244641, 177.35049100261523
2009.3265023136328, 178.97573563795703
2009.341879072071, 182.99104591350732
2009.4059488988967, 179.9795632068446
2009.4802698980145, 179.83615926843208
2009.5349428169059, 178.88013301234867
2009.5674048624976, 172.95277022463154
2009.5879072070818, 170.37149933320632
2009.608409551666, 168.22044025701865
2009.6596654131267, 170.51490327161883
2009.695544516149, 164.82654704792253
2009.7391119983906, 162.12577287448693
2009.7878050667782, 161.76726302845563
2009.8236841698006, 162.34087878210568
2009.8698144451153, 158.8991842602054
2009.9185075135026, 160.26152167512427
2009.951823823452, 158.6123763833804
2009.9672005818902, 155.1706818614801
2009.9877029264746, 151.4421794627548
2009.999662627482, 149.24331907376296
2010.033833201789, 145.8016245518627
2010.0714208335269, 143.5071615372625
2010.108154200907, 145.27581011101682
2010.1568472692945, 148.86090857132962
2010.2081031307553, 150.58175583227973
2010.2132287169013, 154.02345035418
2010.2491078199237, 149.8806699111519
2010.274735750654, 145.99282980307936
2010.3157404398223, 149.48232563778382
2010.3311171982607, 151.1553715859298
2010.3464939566989, 154.45366216941756
2010.372121887429, 158.03876062973035
2010.4003126112325, 162.26917681289942
2010.4361917142548, 162.91449453575572
2010.4695080242043, 161.76726302845563
2010.5028243341537, 158.97088622941166
2010.549808873826, 156.03110549195517
2010.5925220917097, 158.39727047576162
2010.6437779531702, 159.04258819861792
2010.6728229413313, 166.16498380643932
2010.710410573069, 170.19941460711132
2010.7548323196684, 169.51107570273126
2010.8077967098443, 174.67361748558167
2010.8505099277281, 178.0197093818736
2010.889806088181, 182.5608340982698
2010.9205596050576, 184.7118931744575
2010.95643870808, 186.9107535634493
2010.9923178111023, 181.70041046779474
2011.0316139715555, 179.26254351478204
2011.0794527755854, 182.5608340982698
2011.1409598093383, 181.9155163754135
2011.226386245106, 183.66026429276573
2011.2742250491358, 186.3753788600426
2011.3101041521581, 182.27402622144479
2011.3357320828884, 179.54935139160705
2011.3869879443491, 176.20325949531514
2011.4279926335175, 183.33521536569737
2011.4689973226862, 182.7042380366823
2011.5305043564388, 180.40977502208213
2011.5920113901916, 176.68127262335685
2011.6509556308713, 174.10000173193163
2011.6893975269668, 176.96808050018186
2011.7252766299891, 180.05126517605083
2011.773115434019, 181.0789934013405
2011.7816580775957, 182.7042380366823
2011.8072860083262, 179.26254351478204
2011.8329139390564, 175.24723323923172
2011.8687930420788, 171.5187308405064
2011.894420972809, 169.22426782590622
2011.9251744896856, 166.85810284209978
2011.961053592708, 165.2089575503559
2011.976430351146, 161.62385909004314
2011.9918071095842, 158.6123763833804
2012.043062971045, 155.74429761513017
2012.1045700047976, 156.2605517934152
2012.1712026246964, 152.66111293926116
2012.227584072303, 155.57221288903514
2012.2720058189022, 158.51677375777206
2012.304467864494, 160.76343545956806
2012.3352213813703, 165.28065951956216
2012.389040035904, 164.70704376591212
2012.4377331042915, 166.78640087289352
2012.497531609329, 164.9221496735309
2012.5351192410667, 167.40781793934775
2012.6273797916958, 169.51107570273126
2012.6786356531563, 170.0846914563813
2012.714514756179, 168.93745994908122
2012.7478310661281, 167.07320874971856
2012.7811473760776, 167.79022844178112
2012.8375288236844, 166.64299693448103
2012.9118498228022, 166.49959299606851
2012.9502917188977, 166.069381180831
2013.0169243387963, 166.069381180831
2013.068180200257, 166.069381180831
2013.1194360617176, 166.069381180831
2013.1809430954704, 164.9221496735309
2013.232198956931, 164.9221496735309
2013.2860176114646, 165.78257330400595
2013.3347106798522, 166.069381180831
2013.3808409551666, 166.069381180831
2013.4705387127228, 169.00916191828748
2013.5192317811104, 171.8772406865377
2013.5499852979867, 174.10000173193163
2013.5833016079362, 178.8323316995445
2013.6319946763238, 179.6210533608133
2013.6729993654922, 180.6009802732988
2013.7276722843835, 184.42508529763245
2013.7550087438292, 183.5646616671574
2013.7960134329976, 179.54935139160705
2013.8498320875312, 178.8323316995445
2013.8951080984882, 179.07133826356537
2013.9463639599487, 178.59332513552366
2013.9873686491171, 180.69658289890714
2014.0625439125927, 182.07326070766726
2014.1137997740534, 183.5646616671574
2014.167618428587, 184.9987010512825
2014.2060603246825, 185.2855089281075
2014.2675673584351, 184.1382774208074
2014.3188232198959, 183.04840748887233
2014.3700790813564, 181.98721834461975
2014.4179178853863, 180.6009802732988
2014.4623396319855, 183.66026429276573
2014.5084699073, 182.13062228303227
2014.5879164925639, 180.40977502208213
2014.6366095609515, 179.31990509014705
2014.6810313075507, 177.44609362822354
2014.7339956977266, 175.24723323923172
2014.7801259730413, 174.38680960875664
2014.8160050760637, 171.94894265574396
2014.9133912128389, 172.09234659415645
2014.9578129594381, 168.74625469786452
2015.0261541080522, 166.64299693448103
2015.097912314097, 164.75006494743587
2015.1594193478497, 164.63534179670586
2015.2004240370181, 163.6315142278183
2015.248262841048, 161.09804464919725
2015.3029357599394, 162.6276866589307
2015.3541916214, 162.5129635082007
2015.4003218967146, 161.3370512132181
2015.4567033443213, 160.1037773428705
2015.5028336196358, 158.8991842602054
2015.533587136512, 157.46514487608027
2015.595094170265, 155.74429761513017
2015.6514756178715, 153.62191932662498
2015.6924803070401, 149.6257295761963
2015.7437361685006, 146.66204818233774
2015.7693640992309, 142.40773134276657
2015.8462478914219, 140.48611856803893
2015.8821269944442, 138.8226328824538
2015.8975037528824, 135.38093836055353
2015.9180060974668, 130.50520445452813
