year,province,Electric furnace,Gas furnace,Heat pump,Oil furnace,Biomass furnace
2000,Alberta,1.637594878780266,95.9836070569658,1.4853903516420983,0.7373648828085887,0.156042829803237
2000,British Columbia,31.23113559234567,60.02763730924377,2.531630957927053,4.778265281593293,1.4313308588902274
2000,Canada,30.97459702805199,51.62676522299687,3.7689510224762746,11.162999797054308,2.4666869294205576
2000,Manitoba,32.411717286535335,60.835672548226704,2.103298379991976,2.134814909324998,2.514496875920999
2000,New Brunswick,61.60403667340093,1.8697838498594264,2.5855364162673258,24.074028883321432,9.86661417715089
2000,Newfoundland,55.68904877125087,1.4885538558419789,0.7397355489275546,33.701382550153966,8.381279273825628
2000,Nova Scotia,27.40336903030475,1.5768541791996806,3.6667794324898,62.461954154593286,4.891043203412498
2000,Ontario,16.0829900462581,69.7388356895027,4.486729162454965,8.690944287266866,1.0005008145173877
2000,Prince Edward Island,5.785089203811973,1.6664455902107824,1.8079294586738224,86.68604417941766,4.054491567885743
2000,Quebec,68.27015490550687,6.3354574945415445,5.297662702525397,15.001720180675909,5.095004716750288
2000,Saskatchewan,3.0028603480322693,89.63951241823858,1.750369285448279,4.019520058052589,1.5877378902282864
2001,Alberta,1.8418013901170625,95.75562089308912,1.554371216725043,0.7180955176010557,0.1472722006550314
2001,British Columbia,31.136092989873774,59.74330747185356,2.6387972392379617,4.713189186351832,1.5663419216515209
2001,Canada,30.92402819078387,51.88733168942069,3.911691121404476,10.853642460119106,2.3755844455299684
2001,Manitoba,32.25260462936261,61.19925513478803,2.195179148835437,1.927559116558647,2.3923933909029227
2001,New Brunswick,61.86171389951348,1.8556171168532247,2.706335507566237,23.769954674512547,9.968000310010792
2001,Newfoundland,56.35718700365196,1.493513032444137,0.7812745843078713,33.27003718850078,8.067095472065756
2001,Nova Scotia,27.48591399744451,1.5755164697335182,3.816408185661767,62.65738593565921,4.379293012254056
2001,Ontario,15.844690074586357,70.26756752083365,4.668707781133383,8.253853400532709,0.959051261760122
2001,Prince Edward Island,6.579655581236204,1.6627417842564924,1.916767682720893,85.73062680055,4.079647321723609
2001,Quebec,68.69606695910267,6.235323935173536,5.461571817195746,14.616610144586618,4.819399073309202
2001,Saskatchewan,2.860439676711731,89.79430925500567,1.821164617580237,3.925449120255006,1.5908527598723978
2002,Alberta,1.8821081777512123,95.7002815216253,1.6179905456059658,0.6994602354865782,0.1389860970367371
2002,British Columbia,30.83214839339175,60.032368287696144,2.7312579167781323,4.420818434567984,1.6305041772473758
2002,Canada,30.930372047201757,52.27964749023345,4.054387936497776,10.359501992621285,2.322945753080017
2002,Manitoba,32.516707008260056,61.1656349728136,2.289240525349301,1.7934454181141226,2.1701791356547813
2002,New Brunswick,61.91760027209172,1.87279303281057,2.8185460395309705,23.49615149915583,10.21359510130032
2002,Newfoundland,56.92221486942152,1.5253443494256436,0.8300967231554881,33.0587913105921,7.654040618468693
2002,Nova Scotia,27.31218724355686,1.606396765613218,3.973005527768872,62.6945257022485,4.292769771679437
2002,Ontario,15.6958429192918,71.04995678179922,4.859092014313988,7.401194269708472,0.982959497853393
2002,Prince Edward Island,7.506631122787761,1.687898803920044,2.0159552517455763,84.83369942910879,4.021968708561217
2002,Quebec,69.38200927295526,5.890408750968387,5.6200652095878425,14.30463552420717,4.602603150672636
2002,Saskatchewan,2.738344284844259,90.35753100706413,1.8944760062351549,3.3844667668090493,1.6035694677374073
2003,Alberta,2.2579422364643364,95.31088894300962,1.678303218227789,0.6826391071003735,0.1317397257923541
2003,British Columbia,30.634213568238515,60.47398894820261,2.8256063946388315,4.006795512736898,1.6362287923479006
2003,Canada,31.08730369476808,52.506070779813335,4.1940837390378976,9.839886213679064,2.319852623647433
2003,Manitoba,32.340123128412806,61.25312816500495,2.3832555059552845,1.6992669973781045,2.2299634263167083
2003,New Brunswick,62.555976425565255,1.905099053294446,2.9314048327309816,22.56277438874528,10.157694296189934
2003,Newfoundland,58.05452971711642,1.5745958592229452,0.8699448934212767,32.041086101108434,7.531908308632255
2003,Nova Scotia,27.3249718038368,1.6568343017744918,4.1323624214791295,62.47251881425866,4.304437771227956
2003,Ontario,15.569134284681674,71.44652460128569,5.049358835736468,6.853776890761595,1.0526604543749651
2003,Prince Edward Island,8.593503233216268,1.7395115803999497,2.126947911108505,83.61022067658153,4.075916933429935
2003,Quebec,70.31979242641111,5.710291484121754,5.771628623269995,13.539886038670303,4.480122726460403
2003,Saskatchewan,2.612770569803489,90.64262853757964,1.9622574858930044,3.0877553859855658,1.673204664535517
2004,Alberta,2.693233621462125,94.87385101249704,1.7378127872228673,0.6555128479934318,0.1233020158771743
2004,British Columbia,30.649878922259063,60.36317058763815,2.901577513502008,4.002765217553465,1.6763426362172822
2004,Canada,31.29814036441571,52.577519073132834,4.322763250674601,9.474194410698468,2.303454709271249
2004,Manitoba,32.86597540278766,60.911279952380944,2.472880801004261,1.579769064368523,2.074083720361319
2004,New Brunswick,62.96504249484696,1.877459551535764,3.0528834557514744,22.050941474362293,10.049125573168473
2004,Newfoundland,59.67243880488913,1.5785597285023831,0.909362535403284,30.70319284057388,7.296057507838652
2004,Nova Scotia,27.779564662225415,1.6615240972254934,4.277720840658936,61.833215080858174,4.314966374034409
2004,Ontario,15.452576430251334,71.68881657273371,5.220034971625848,6.567718085402752,1.042120080634126
2004,Prince Edward Island,9.78988951860763,1.737274866414567,2.233596256720537,82.48816240958728,4.023921877593162
2004,Quebec,71.05286932452239,5.650939215722946,5.920606096620729,12.79956826378942,4.466400539553219
