"REF_DATE","GEO","DGUID","Statistic","Household type","Household expenditures, summary-level categories","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Owned living quarters","Dollars","81","units","0","v54530210","1.1.2.9","4128","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Owned living quarters","Dollars","81","units","0","v54530210","1.1.2.9","4475","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Owned living quarters","Dollars","81","units","0","v54530210","1.1.2.9","4741","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Owned living quarters","Dollars","81","units","0","v54530210","1.1.2.9","4864","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Owned living quarters","Dollars","81","units","0","v54530210","1.1.2.9","5009","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Owned living quarters","Dollars","81","units","0","v54530210","1.1.2.9","5169","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Owned living quarters","Dollars","81","units","0","v54530210","1.1.2.9","5301","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1305","","","","0"
"2011","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1363","","","","0"
"2012","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1297","","","","0"
"2013","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1385","","","","0"
"2014","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1501","","","","0"
"2015","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1379","","","","0"
"2016","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1435","","","","0"
"2017","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1444","","","","0"
"2019","Canada","2016A000011124","Average expenditure per household","One person households","Water, fuel and electricity for principal accommodation","Dollars","81","units","0","v54530211","1.1.2.10","1412","","","","0"
"2010","Canada","2016A000011124","Average expenditure per household","One person households","Other accommodation","Dollars","81","units","0","v54530212","1.1.2.11","692","","","","0"
