"REF_DATE","GEO","DGUID","Primary heating system and type of energy","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2016A000011124","Oil forced air furnace","Percent","239","units","0","v95637315","1.4","4","","","","0"
"2013","Canada","2016A000011124","Biomass forced air furnace","Percent","239","units","0","v95637316","1.5","2","","","","0"
"2015","Canada","2016A000011124","Biomass forced air furnace","Percent","239","units","0","v95637316","1.5","2","","","","0"
"2017","Canada","2016A000011124","Biomass forced air furnace","Percent","239","units","0","v95637316","1.5","2","","","","0"
"2019","Canada","2016A000011124","Biomass forced air furnace","Percent","239","units","0","v95637316","1.5","1","","","","0"
"2021","Canada","2016A000011124","Biomass forced air furnace","Percent","239","units","0","v95637316","1.5","1","","","","0"
"2013","Canada","2016A000011124","Propane forced air furnace","Percent","239","units","0","v95637319","1.8","2","","","","0"
"2015","Canada","2016A000011124","Propane forced air furnace","Percent","239","units","0","v95637319","1.8","1","","","","0"
"2017","Canada","2016A000011124","Propane forced air furnace","Percent","239","units","0","v95637319","1.8","2","","","","0"
"2019","Canada","2016A000011124","Propane forced air furnace","Percent","239","units","0","v95637319","1.8","3","","","","0"
"2021","Canada","2016A000011124","Propane forced air furnace","Percent","239","units","0","v95637319","1.8","3","","","","0"
"2013","Canada","2016A000011124","Other fuel forced air furnace","Percent","239","units","0","v95637320","1.9","","F","","","0"
"2015","Canada","2016A000011124","Other fuel forced air furnace","Percent","239","units","0","v95637320","1.9","","F","","","0"
"2017","Canada","2016A000011124","Other fuel forced air furnace","Percent","239","units","0","v95637320","1.9","0","E","","","0"
"2019","Canada","2016A000011124","Other fuel forced air furnace","Percent","239","units","0","v95637320","1.9","1","E","","","0"
"2021","Canada","2016A000011124","Other fuel forced air furnace","Percent","239","units","0","v95637320","1.9","1","","","","0"
"2013","Canada","2016A000011124","Electric baseboard heaters","Percent","239","units","0","v95637321","1.10","28","","","","0"
"2015","Canada","2016A000011124","Electric baseboard heaters","Percent","239","units","0","v95637321","1.10","29","","","","0"
"2017","Canada","2016A000011124","Electric baseboard heaters","Percent","239","units","0","v95637321","1.10","26","","","","0"
"2019","Canada","2016A000011124","Electric baseboard heaters","Percent","239","units","0","v95637321","1.10","26","","","","0"
"2021","Canada","2016A000011124","Electric baseboard heaters","Percent","239","units","0","v95637321","1.10","25","","","","0"
"2013","Canada","2016A000011124","Heating stove","Percent","239","units","0","v95637322","1.11","3","","","","0"
"2015","Canada","2016A000011124","Heating stove","Percent","239","units","0","v95637322","1.11","2","","","","0"
"2017","Canada","2016A000011124","Heating stove","Percent","239","units","0","v95637322","1.11","3","","","","0"
"2019","Canada","2016A000011124","Heating stove","Percent","239","units","0","v95637322","1.11","2","","","","0"
