Year,GEO,Price (ct/kWh),Type of fuel
2025,Northwest Territories,22.85,Electricity
2026,Northwest Territories,23.126,Electricity
2027,Northwest Territories,23.044,Electricity
2028,Northwest Territories,22.992,Electricity
2029,Northwest Territories,22.966,Electricity
2030,Northwest Territories,22.919,Electricity
2031,Northwest Territories,22.825,Electricity
2032,Northwest Territories,23.033,Electricity
2033,Northwest Territories,23.15,Electricity
2034,Northwest Territories,23.281,Electricity
2035,Northwest Territories,23.276,Electricity
2036,Northwest Territories,23.234,Electricity
2037,Northwest Territories,23.274,Electricity
2038,Northwest Territories,23.344,Electricity
2039,Northwest Territories,23.385,Electricity
2040,Northwest Territories,23.434,Electricity
2041,Northwest Territories,23.494,Electricity
2042,Northwest Territories,23.585,Electricity
2043,Northwest Territories,23.642,Electricity
2044,Northwest Territories,23.71,Electricity
2045,Northwest Territories,23.767,Electricity
2046,Northwest Territories,23.848,Electricity
2047,Northwest Territories,23.902,Electricity
2048,Northwest Territories,23.987,Electricity
2049,Northwest Territories,24.065,Electricity
2050,Northwest Territories,24.165,Electricity
2005,Northwest Territories,6.249,Natural gas
2006,Northwest Territories,6.495,Natural gas
2007,Northwest Territories,6.46,Natural gas
2008,Northwest Territories,6.509,Natural gas
2009,Northwest Territories,6.327,Natural gas
2010,Northwest Territories,6.213,Natural gas
2011,Northwest Territories,5.802,Natural gas
2012,Northwest Territories,5.278,Natural gas
2013,Northwest Territories,5.144,Natural gas
2014,Northwest Territories,5.605,Natural gas
2015,Northwest Territories,5.08,Natural gas
2016,Northwest Territories,3.484,Natural gas
2017,Northwest Territories,3.525,Natural gas
2018,Northwest Territories,3.306,Natural gas
2019,Northwest Territories,4.167,Natural gas
2020,Northwest Territories,4.797,Natural gas
2021,Northwest Territories,5.343,Natural gas
2022,Northwest Territories,7.276,Natural gas
2023,Northwest Territories,6.063,Natural gas
2024,Northwest Territories,6.612,Natural gas
2025,Northwest Territories,7.0,Natural gas
2026,Northwest Territories,7.195,Natural gas
2027,Northwest Territories,7.401,Natural gas
2028,Northwest Territories,7.608,Natural gas
2029,Northwest Territories,7.838,Natural gas
2030,Northwest Territories,8.054,Natural gas
2031,Northwest Territories,8.721,Natural gas
2032,Northwest Territories,9.222,Natural gas
2033,Northwest Territories,9.759,Natural gas
2034,Northwest Territories,10.259,Natural gas
2035,Northwest Territories,10.726,Natural gas
2036,Northwest Territories,11.211,Natural gas
2037,Northwest Territories,11.674,Natural gas
2038,Northwest Territories,12.131,Natural gas
2039,Northwest Territories,12.582,Natural gas
2040,Northwest Territories,12.999,Natural gas
2041,Northwest Territories,13.441,Natural gas
2042,Northwest Territories,13.869,Natural gas
2043,Northwest Territories,14.278,Natural gas
2044,Northwest Territories,14.67,Natural gas
2045,Northwest Territories,15.037,Natural gas
2046,Northwest Territories,15.361,Natural gas
2047,Northwest Territories,15.67,Natural gas
2048,Northwest Territories,15.951,Natural gas
2049,Northwest Territories,16.173,Natural gas
2050,Northwest Territories,16.331,Natural gas
2005,Northwest Territories,10.522,Heating oil
2006,Northwest Territories,10.853,Heating oil
2007,Northwest Territories,12.142,Heating oil
2008,Northwest Territories,15.234,Heating oil
2009,Northwest Territories,10.801,Heating oil
2010,Northwest Territories,11.875,Heating oil
2011,Northwest Territories,14.438,Heating oil
2012,Northwest Territories,14.487,Heating oil
2013,Northwest Territories,14.162,Heating oil
2014,Northwest Territories,15.204,Heating oil
2015,Northwest Territories,11.605,Heating oil
2016,Northwest Territories,10.188,Heating oil
2017,Northwest Territories,11.412,Heating oil
2018,Northwest Territories,13.217,Heating oil
2019,Northwest Territories,12.569,Heating oil
2020,Northwest Territories,9.734,Heating oil
2021,Northwest Territories,11.355,Heating oil
2022,Northwest Territories,14.234,Heating oil
2023,Northwest Territories,12.805,Heating oil
2024,Northwest Territories,12.14,Heating oil
2025,Northwest Territories,11.495,Heating oil
2026,Northwest Territories,10.79,Heating oil
2027,Northwest Territories,10.094,Heating oil
2028,Northwest Territories,9.404,Heating oil
2029,Northwest Territories,8.733,Heating oil
2030,Northwest Territories,8.044,Heating oil
2031,Northwest Territories,8.012,Heating oil
2032,Northwest Territories,7.972,Heating oil
2033,Northwest Territories,7.944,Heating oil
2034,Northwest Territories,7.9,Heating oil
2035,Northwest Territories,7.857,Heating oil
2036,Northwest Territories,7.806,Heating oil
2037,Northwest Territories,7.756,Heating oil
2038,Northwest Territories,7.705,Heating oil
2039,Northwest Territories,7.649,Heating oil
2040,Northwest Territories,7.592,Heating oil
2041,Northwest Territories,7.536,Heating oil
2042,Northwest Territories,7.48,Heating oil
2043,Northwest Territories,7.427,Heating oil
2044,Northwest Territories,7.369,Heating oil
2045,Northwest Territories,7.314,Heating oil
2046,Northwest Territories,7.25,Heating oil
2047,Northwest Territories,7.193,Heating oil
2048,Northwest Territories,7.134,Heating oil
2049,Northwest Territories,7.076,Heating oil
2050,Northwest Territories,7.013,Heating oil
2005,Nova Scotia,14.82,Electricity
2006,Nova Scotia,16.738,Electricity
2007,Nova Scotia,15.926,Electricity
2008,Nova Scotia,15.558,Electricity
2009,Nova Scotia,18.305,Electricity
2010,Nova Scotia,16.793,Electricity
2011,Nova Scotia,17.389,Electricity
2012,Nova Scotia,18.916,Electricity
2013,Nova Scotia,19.218,Electricity
2014,Nova Scotia,19.555,Electricity
2015,Nova Scotia,19.367,Electricity
2016,Nova Scotia,19.012,Electricity
2017,Nova Scotia,19.138,Electricity
2018,Nova Scotia,19.159,Electricity
2019,Nova Scotia,19.151,Electricity
2020,Nova Scotia,20.665,Electricity
2021,Nova Scotia,21.924,Electricity
2022,Nova Scotia,22.08,Electricity
2023,Nova Scotia,23.252,Electricity
2024,Nova Scotia,22.415,Electricity
2025,Nova Scotia,22.735,Electricity
2026,Nova Scotia,22.813,Electricity
2027,Nova Scotia,22.649,Electricity
2028,Nova Scotia,22.524,Electricity
2029,Nova Scotia,22.408,Electricity
2030,Nova Scotia,22.269,Electricity
2031,Nova Scotia,22.145,Electricity
2032,Nova Scotia,22.229,Electricity
2033,Nova Scotia,22.135,Electricity
2034,Nova Scotia,22.035,Electricity
2035,Nova Scotia,21.947,Electricity
2036,Nova Scotia,21.993,Electricity
2037,Nova Scotia,21.977,Electricity
2038,Nova Scotia,21.989,Electricity
2039,Nova Scotia,21.992,Electricity
2040,Nova Scotia,22.022,Electricity
2041,Nova Scotia,21.983,Electricity
2042,Nova Scotia,22.118,Electricity
2043,Nova Scotia,22.153,Electricity
2044,Nova Scotia,22.229,Electricity
2045,Nova Scotia,22.333,Electricity
2046,Nova Scotia,22.391,Electricity
2047,Nova Scotia,22.443,Electricity
2048,Nova Scotia,22.508,Electricity
2049,Nova Scotia,22.569,Electricity
2050,Nova Scotia,22.672,Electricity
2005,Nova Scotia,19.276,Natural gas
2006,Nova Scotia,17.765,Natural gas
2007,Nova Scotia,16.816,Natural gas
2008,Nova Scotia,16.731,Natural gas
2009,Nova Scotia,15.727,Natural gas
2010,Nova Scotia,15.021,Natural gas
2011,Nova Scotia,14.273,Natural gas
2012,Nova Scotia,13.701,Natural gas
2013,Nova Scotia,10.685,Natural gas
2014,Nova Scotia,10.996,Natural gas
2015,Nova Scotia,12.85,Natural gas
2016,Nova Scotia,11.563,Natural gas
2017,Nova Scotia,9.552,Natural gas
2018,Nova Scotia,9.533,Natural gas
2019,Nova Scotia,9.571,Natural gas
2020,Nova Scotia,8.689,Natural gas
2021,Nova Scotia,10.17,Natural gas
2022,Nova Scotia,12.122,Natural gas
2023,Nova Scotia,10.699,Natural gas
2024,Nova Scotia,11.162,Natural gas
2025,Nova Scotia,11.461,Natural gas
2026,Nova Scotia,11.542,Natural gas
2027,Nova Scotia,11.616,Natural gas
2028,Nova Scotia,11.687,Natural gas
2029,Nova Scotia,11.773,Natural gas
2030,Nova Scotia,11.846,Natural gas
2031,Nova Scotia,12.351,Natural gas
2032,Nova Scotia,12.725,Natural gas
2033,Nova Scotia,13.134,Natural gas
2034,Nova Scotia,13.508,Natural gas
2035,Nova Scotia,13.861,Natural gas
2036,Nova Scotia,14.222,Natural gas
2037,Nova Scotia,14.567,Natural gas
2038,Nova Scotia,14.91,Natural gas
2039,Nova Scotia,15.247,Natural gas
2040,Nova Scotia,15.56,Natural gas
2041,Nova Scotia,15.896,Natural gas
2042,Nova Scotia,16.206,Natural gas
2043,Nova Scotia,16.51,Natural gas
2044,Nova Scotia,16.804,Natural gas
2045,Nova Scotia,17.1,Natural gas
2046,Nova Scotia,17.376,Natural gas
2047,Nova Scotia,17.659,Natural gas
2048,Nova Scotia,17.935,Natural gas
2049,Nova Scotia,18.187,Natural gas
2050,Nova Scotia,18.405,Natural gas
2005,Nova Scotia,10.827,Heating oil
2006,Nova Scotia,11.247,Heating oil
2007,Nova Scotia,10.587,Heating oil
2008,Nova Scotia,13.218,Heating oil
2009,Nova Scotia,9.222,Heating oil
2010,Nova Scotia,10.437,Heating oil
2011,Nova Scotia,12.812,Heating oil
2012,Nova Scotia,13.279,Heating oil
2013,Nova Scotia,13.359,Heating oil
2014,Nova Scotia,14.386,Heating oil
2015,Nova Scotia,11.266,Heating oil
2016,Nova Scotia,9.78,Heating oil
2017,Nova Scotia,10.518,Heating oil
2018,Nova Scotia,11.742,Heating oil
2019,Nova Scotia,11.394,Heating oil
2020,Nova Scotia,9.033,Heating oil
2021,Nova Scotia,13.15,Heating oil
2022,Nova Scotia,16.374,Heating oil
2023,Nova Scotia,15.484,Heating oil
2024,Nova Scotia,15.206,Heating oil
2025,Nova Scotia,15.013,Heating oil
2026,Nova Scotia,14.745,Heating oil
2027,Nova Scotia,14.491,Heating oil
2028,Nova Scotia,14.245,Heating oil
2029,Nova Scotia,14.043,Heating oil
2030,Nova Scotia,13.809,Heating oil
2031,Nova Scotia,14.54,Heating oil
2032,Nova Scotia,15.081,Heating oil
2033,Nova Scotia,15.673,Heating oil
2034,Nova Scotia,16.216,Heating oil
2035,Nova Scotia,16.727,Heating oil
2036,Nova Scotia,17.257,Heating oil
2037,Nova Scotia,17.769,Heating oil
2038,Nova Scotia,18.28,Heating oil
2039,Nova Scotia,18.788,Heating oil
2040,Nova Scotia,19.264,Heating oil
2041,Nova Scotia,19.781,Heating oil
2042,Nova Scotia,20.292,Heating oil
2043,Nova Scotia,20.796,Heating oil
2044,Nova Scotia,21.291,Heating oil
2045,Nova Scotia,21.792,Heating oil
2046,Nova Scotia,22.273,Heating oil
2047,Nova Scotia,22.766,Heating oil
2048,Nova Scotia,23.252,Heating oil
2049,Nova Scotia,23.699,Heating oil
2050,Nova Scotia,24.1,Heating oil
2005,Nunavut,14.147,Electricity
2006,Nunavut,14.888,Electricity
2007,Nunavut,14.968,Electricity
2008,Nunavut,15.23,Electricity
2009,Nunavut,15.54,Electricity
2010,Nunavut,16.701,Electricity
2011,Nunavut,16.091,Electricity
2012,Nunavut,18.09,Electricity
2013,Nunavut,18.104,Electricity
2014,Nunavut,19.315,Electricity
2015,Nunavut,20.253,Electricity
2016,Nunavut,20.863,Electricity
2017,Nunavut,21.372,Electricity
2018,Nunavut,21.675,Electricity
2019,Nunavut,21.687,Electricity
2020,Nunavut,21.668,Electricity
2021,Nunavut,23.005,Electricity
2022,Nunavut,23.614,Electricity
2023,Nunavut,24.225,Electricity
2024,Nunavut,23.185,Electricity
2025,Nunavut,23.436,Electricity
2026,Nunavut,23.463,Electricity
2027,Nunavut,23.324,Electricity
2028,Nunavut,23.216,Electricity
2029,Nunavut,23.128,Electricity
2030,Nunavut,23.136,Electricity
2031,Nunavut,23.099,Electricity
2032,Nunavut,23.578,Electricity
2033,Nunavut,23.925,Electricity
2034,Nunavut,24.271,Electricity
2035,Nunavut,24.603,Electricity
2036,Nunavut,24.833,Electricity
2037,Nunavut,25.515,Electricity
2038,Nunavut,26.215,Electricity
2039,Nunavut,26.867,Electricity
2040,Nunavut,27.513,Electricity
2041,Nunavut,28.136,Electricity
2042,Nunavut,28.786,Electricity
2043,Nunavut,29.368,Electricity
2044,Nunavut,29.953,Electricity
2045,Nunavut,30.281,Electricity
2046,Nunavut,30.549,Electricity
2047,Nunavut,30.571,Electricity
2048,Nunavut,30.634,Electricity
2049,Nunavut,30.689,Electricity
2050,Nunavut,30.778,Electricity
2005,Nunavut,6.249,Natural gas
2006,Nunavut,6.495,Natural gas
2007,Nunavut,6.46,Natural gas
2008,Nunavut,6.509,Natural gas
2009,Nunavut,6.327,Natural gas
2010,Nunavut,6.213,Natural gas
2011,Nunavut,5.802,Natural gas
2012,Nunavut,5.278,Natural gas
2013,Nunavut,5.144,Natural gas
2014,Nunavut,5.605,Natural gas
2015,Nunavut,5.08,Natural gas
2016,Nunavut,3.484,Natural gas
2017,Nunavut,3.525,Natural gas
2018,Nunavut,3.306,Natural gas
2019,Nunavut,3.469,Natural gas
2020,Nunavut,3.71,Natural gas
2021,Nunavut,3.9,Natural gas
2022,Nunavut,5.533,Natural gas
2023,Nunavut,3.839,Natural gas
2024,Nunavut,4.046,Natural gas
2025,Nunavut,4.035,Natural gas
2026,Nunavut,3.846,Natural gas
2027,Nunavut,3.662,Natural gas
2028,Nunavut,3.479,Natural gas
2029,Nunavut,3.297,Natural gas
2030,Nunavut,3.116,Natural gas
2031,Nunavut,3.116,Natural gas
2032,Nunavut,3.114,Natural gas
2033,Nunavut,3.116,Natural gas
2034,Nunavut,3.113,Natural gas
2035,Nunavut,3.111,Natural gas
2036,Nunavut,3.105,Natural gas
2037,Nunavut,3.1,Natural gas
2038,Nunavut,3.094,Natural gas
2039,Nunavut,3.086,Natural gas
2040,Nunavut,3.078,Natural gas
2041,Nunavut,3.07,Natural gas
2042,Nunavut,3.062,Natural gas
2043,Nunavut,3.056,Natural gas
2044,Nunavut,3.047,Natural gas
2045,Nunavut,3.039,Natural gas
2046,Nunavut,3.028,Natural gas
2047,Nunavut,3.02,Natural gas
2048,Nunavut,3.011,Natural gas
2049,Nunavut,3.002,Natural gas
2050,Nunavut,2.991,Natural gas
2005,Nunavut,10.522,Heating oil
2006,Nunavut,10.853,Heating oil
2007,Nunavut,12.142,Heating oil
2008,Nunavut,15.234,Heating oil
2009,Nunavut,10.801,Heating oil
2010,Nunavut,11.875,Heating oil
2011,Nunavut,14.438,Heating oil
2012,Nunavut,14.487,Heating oil
2013,Nunavut,14.162,Heating oil
2014,Nunavut,15.204,Heating oil
2015,Nunavut,11.605,Heating oil
2016,Nunavut,10.188,Heating oil
2017,Nunavut,11.412,Heating oil
2018,Nunavut,13.217,Heating oil
2019,Nunavut,12.569,Heating oil
2020,Nunavut,9.734,Heating oil
2021,Nunavut,11.355,Heating oil
2022,Nunavut,14.234,Heating oil
2023,Nunavut,12.805,Heating oil
2024,Nunavut,12.14,Heating oil
2025,Nunavut,11.495,Heating oil
2026,Nunavut,10.79,Heating oil
2027,Nunavut,10.094,Heating oil
2028,Nunavut,9.404,Heating oil
2029,Nunavut,8.733,Heating oil
2030,Nunavut,8.044,Heating oil
2031,Nunavut,8.012,Heating oil
2032,Nunavut,7.972,Heating oil
2033,Nunavut,7.944,Heating oil
2034,Nunavut,7.9,Heating oil
2035,Nunavut,7.857,Heating oil
2036,Nunavut,7.806,Heating oil
2037,Nunavut,7.756,Heating oil
2038,Nunavut,7.705,Heating oil
2039,Nunavut,7.649,Heating oil
2040,Nunavut,7.592,Heating oil
2041,Nunavut,7.536,Heating oil
2042,Nunavut,7.48,Heating oil
2043,Nunavut,7.427,Heating oil
2044,Nunavut,7.369,Heating oil
2045,Nunavut,7.314,Heating oil
2046,Nunavut,7.25,Heating oil
2047,Nunavut,7.193,Heating oil
2048,Nunavut,7.134,Heating oil
2049,Nunavut,7.076,Heating oil
2050,Nunavut,7.013,Heating oil
2005,Ontario,14.682,Electricity
2006,Ontario,16.479,Electricity
2007,Ontario,16.68,Electricity
2008,Ontario,15.711,Electricity
2009,Ontario,16.226,Electricity
2010,Ontario,16.302,Electricity
2011,Ontario,17.021,Electricity
2012,Ontario,17.701,Electricity
2013,Ontario,18.141,Electricity
2014,Ontario,19.575,Electricity
2015,Ontario,20.202,Electricity
2016,Ontario,24.126,Electricity
2017,Ontario,20.68,Electricity
2018,Ontario,16.461,Electricity
2019,Ontario,16.906,Electricity
2020,Ontario,16.891,Electricity
2021,Ontario,15.625,Electricity
2022,Ontario,15.881,Electricity
2023,Ontario,16.006,Electricity
2024,Ontario,16.16,Electricity
2025,Ontario,15.896,Electricity
2026,Ontario,15.958,Electricity
2027,Ontario,15.798,Electricity
2028,Ontario,15.667,Electricity
2029,Ontario,15.54,Electricity
2030,Ontario,15.426,Electricity
2031,Ontario,15.103,Electricity
2032,Ontario,14.88,Electricity
2033,Ontario,14.658,Electricity
2034,Ontario,14.485,Electricity
2035,Ontario,14.334,Electricity
2036,Ontario,14.236,Electricity
2037,Ontario,14.18,Electricity
2038,Ontario,14.15,Electricity
2039,Ontario,14.108,Electricity
2040,Ontario,14.085,Electricity
2041,Ontario,14.093,Electricity
2042,Ontario,14.126,Electricity
2043,Ontario,14.146,Electricity
2044,Ontario,14.183,Electricity
2045,Ontario,14.192,Electricity
2046,Ontario,14.188,Electricity
2047,Ontario,14.191,Electricity
2048,Ontario,14.216,Electricity
2049,Ontario,14.254,Electricity
2050,Ontario,14.311,Electricity
2005,Ontario,6.657,Natural gas
2006,Ontario,7.186,Natural gas
2007,Ontario,6.609,Natural gas
2008,Ontario,6.84,Natural gas
2009,Ontario,5.647,Natural gas
2010,Ontario,5.652,Natural gas
2011,Ontario,4.985,Natural gas
2012,Ontario,4.72,Natural gas
2013,Ontario,4.718,Natural gas
2014,Ontario,5.075,Natural gas
2015,Ontario,5.036,Natural gas
2016,Ontario,3.893,Natural gas
2017,Ontario,4.936,Natural gas
2018,Ontario,4.141,Natural gas
2019,Ontario,3.573,Natural gas
2020,Ontario,3.732,Natural gas
2021,Ontario,4.419,Natural gas
2022,Ontario,6.395,Natural gas
2023,Ontario,4.961,Natural gas
2024,Ontario,5.435,Natural gas
2025,Ontario,5.724,Natural gas
2026,Ontario,5.815,Natural gas
2027,Ontario,5.917,Natural gas
2028,Ontario,6.021,Natural gas
2029,Ontario,6.143,Natural gas
2030,Ontario,6.254,Natural gas
2031,Ontario,6.757,Natural gas
2032,Ontario,7.129,Natural gas
2033,Ontario,7.528,Natural gas
2034,Ontario,7.898,Natural gas
2035,Ontario,8.243,Natural gas
2036,Ontario,8.602,Natural gas
2037,Ontario,8.946,Natural gas
2038,Ontario,9.288,Natural gas
2039,Ontario,9.627,Natural gas
2040,Ontario,9.943,Natural gas
2041,Ontario,10.284,Natural gas
2042,Ontario,10.516,Natural gas
2043,Ontario,10.731,Natural gas
2044,Ontario,10.837,Natural gas
2045,Ontario,11.025,Natural gas
2046,Ontario,11.19,Natural gas
2047,Ontario,11.454,Natural gas
2048,Ontario,11.711,Natural gas
2049,Ontario,11.828,Natural gas
2050,Ontario,12.025,Natural gas
2005,Ontario,10.097,Heating oil
2006,Ontario,10.52,Heating oil
2007,Ontario,11.039,Heating oil
2008,Ontario,14.011,Heating oil
2009,Ontario,10.173,Heating oil
2010,Ontario,11.764,Heating oil
2011,Ontario,14.601,Heating oil
2012,Ontario,14.833,Heating oil
2013,Ontario,14.824,Heating oil
2014,Ontario,15.244,Heating oil
2015,Ontario,12.68,Heating oil
2016,Ontario,11.134,Heating oil
2017,Ontario,13.614,Heating oil
2018,Ontario,14.747,Heating oil
2019,Ontario,14.058,Heating oil
2020,Ontario,12.575,Heating oil
2021,Ontario,15.414,Heating oil
2022,Ontario,18.881,Heating oil
2023,Ontario,17.854,Heating oil
2024,Ontario,17.527,Heating oil
2025,Ontario,17.286,Heating oil
2026,Ontario,16.958,Heating oil
2027,Ontario,16.641,Heating oil
2028,Ontario,16.331,Heating oil
2029,Ontario,16.065,Heating oil
2030,Ontario,15.767,Heating oil
2031,Ontario,16.495,Heating oil
2032,Ontario,17.033,Heating oil
2033,Ontario,17.624,Heating oil
2034,Ontario,18.164,Heating oil
2035,Ontario,18.673,Heating oil
2036,Ontario,19.199,Heating oil
2037,Ontario,19.707,Heating oil
2038,Ontario,20.213,Heating oil
2039,Ontario,20.716,Heating oil
2040,Ontario,21.186,Heating oil
2041,Ontario,21.697,Heating oil
2042,Ontario,22.201,Heating oil
2043,Ontario,22.699,Heating oil
2044,Ontario,23.188,Heating oil
2045,Ontario,23.684,Heating oil
2046,Ontario,24.156,Heating oil
2047,Ontario,24.643,Heating oil
2048,Ontario,25.123,Heating oil
2049,Ontario,25.566,Heating oil
2050,Ontario,25.96,Heating oil
2005,Prince Edward Island,16.508,Electricity
2006,Prince Edward Island,17.109,Electricity
2007,Prince Edward Island,18.298,Electricity
2008,Prince Edward Island,19.605,Electricity
2009,Prince Edward Island,22.835,Electricity
2010,Prince Edward Island,21.038,Electricity
2011,Prince Edward Island,18.52,Electricity
2012,Prince Edward Island,18.28,Electricity
2013,Prince Edward Island,21.374,Electricity
2014,Prince Edward Island,21.912,Electricity
2015,Prince Edward Island,22.239,Electricity
2016,Prince Edward Island,22.647,Electricity
2017,Prince Edward Island,23.348,Electricity
2018,Prince Edward Island,23.552,Electricity
2019,Prince Edward Island,23.166,Electricity
2020,Prince Edward Island,23.145,Electricity
2021,Prince Edward Island,25.06,Electricity
2022,Prince Edward Island,25.966,Electricity
2023,Prince Edward Island,25.104,Electricity
2024,Prince Edward Island,24.698,Electricity
2025,Prince Edward Island,24.932,Electricity
2026,Prince Edward Island,24.744,Electricity
2027,Prince Edward Island,24.755,Electricity
2028,Prince Edward Island,24.725,Electricity
2029,Prince Edward Island,24.749,Electricity
2030,Prince Edward Island,24.763,Electricity
2031,Prince Edward Island,24.562,Electricity
2032,Prince Edward Island,24.736,Electricity
2033,Prince Edward Island,24.863,Electricity
2034,Prince Edward Island,24.997,Electricity
2035,Prince Edward Island,25.119,Electricity
2036,Prince Edward Island,25.32,Electricity
2037,Prince Edward Island,25.362,Electricity
2038,Prince Edward Island,25.424,Electricity
2039,Prince Edward Island,25.459,Electricity
2040,Prince Edward Island,25.492,Electricity
2041,Prince Edward Island,25.202,Electricity
2042,Prince Edward Island,24.743,Electricity
2043,Prince Edward Island,24.256,Electricity
2044,Prince Edward Island,23.775,Electricity
2045,Prince Edward Island,23.298,Electricity
2046,Prince Edward Island,22.852,Electricity
2047,Prince Edward Island,22.508,Electricity
2048,Prince Edward Island,22.183,Electricity
2049,Prince Edward Island,21.853,Electricity
2050,Prince Edward Island,21.548,Electricity
2005,Prince Edward Island,7.516,Natural gas
2006,Prince Edward Island,7.64,Natural gas
2007,Prince Edward Island,4.87,Natural gas
2008,Prince Edward Island,5.9,Natural gas
2009,Prince Edward Island,5.992,Natural gas
2010,Prince Edward Island,8.366,Natural gas
2011,Prince Edward Island,7.245,Natural gas
2012,Prince Edward Island,7.403,Natural gas
2013,Prince Edward Island,7.764,Natural gas
2014,Prince Edward Island,7.8,Natural gas
2015,Prince Edward Island,4.366,Natural gas
2016,Prince Edward Island,3.923,Natural gas
2017,Prince Edward Island,5.49,Natural gas
2018,Prince Edward Island,5.483,Natural gas
2019,Prince Edward Island,5.178,Natural gas
2020,Prince Edward Island,5.206,Natural gas
2021,Prince Edward Island,5.473,Natural gas
2022,Prince Edward Island,7.281,Natural gas
2023,Prince Edward Island,5.402,Natural gas
2024,Prince Edward Island,5.629,Natural gas
2025,Prince Edward Island,5.619,Natural gas
2026,Prince Edward Island,5.406,Natural gas
2027,Prince Edward Island,5.196,Natural gas
2028,Prince Edward Island,4.986,Natural gas
2029,Prince Edward Island,4.777,Natural gas
2030,Prince Edward Island,4.567,Natural gas
2031,Prince Edward Island,4.567,Natural gas
2032,Prince Edward Island,4.565,Natural gas
2033,Prince Edward Island,4.569,Natural gas
2034,Prince Edward Island,4.566,Natural gas
2035,Prince Edward Island,4.564,Natural gas
2036,Prince Edward Island,4.558,Natural gas
2037,Prince Edward Island,4.552,Natural gas
2038,Prince Edward Island,4.545,Natural gas
2039,Prince Edward Island,4.536,Natural gas
2040,Prince Edward Island,4.525,Natural gas
2041,Prince Edward Island,4.515,Natural gas
2042,Prince Edward Island,4.505,Natural gas
2043,Prince Edward Island,4.496,Natural gas
2044,Prince Edward Island,4.485,Natural gas
2045,Prince Edward Island,4.475,Natural gas
2046,Prince Edward Island,4.461,Natural gas
2047,Prince Edward Island,4.451,Natural gas
2048,Prince Edward Island,4.44,Natural gas
2049,Prince Edward Island,4.431,Natural gas
2050,Prince Edward Island,4.418,Natural gas
2005,Prince Edward Island,9.557,Heating oil
2006,Prince Edward Island,9.924,Heating oil
2007,Prince Edward Island,9.997,Heating oil
2008,Prince Edward Island,12.713,Heating oil
2009,Prince Edward Island,8.908,Heating oil
2010,Prince Edward Island,10.183,Heating oil
2011,Prince Edward Island,12.582,Heating oil
2012,Prince Edward Island,13.048,Heating oil
2013,Prince Edward Island,12.916,Heating oil
2014,Prince Edward Island,12.946,Heating oil
2015,Prince Edward Island,9.885,Heating oil
2016,Prince Edward Island,8.525,Heating oil
2017,Prince Edward Island,9.144,Heating oil
2018,Prince Edward Island,10.871,Heating oil
2019,Prince Edward Island,11.252,Heating oil
2020,Prince Edward Island,8.997,Heating oil
2021,Prince Edward Island,12.015,Heating oil
2022,Prince Edward Island,15.221,Heating oil
2023,Prince Edward Island,14.353,Heating oil
2024,Prince Edward Island,14.075,Heating oil
2025,Prince Edward Island,13.881,Heating oil
2026,Prince Edward Island,13.618,Heating oil
2027,Prince Edward Island,13.372,Heating oil
2028,Prince Edward Island,13.135,Heating oil
2029,Prince Edward Island,12.942,Heating oil
2030,Prince Edward Island,12.719,Heating oil
2031,Prince Edward Island,13.45,Heating oil
2032,Prince Edward Island,13.991,Heating oil
2033,Prince Edward Island,14.582,Heating oil
2034,Prince Edward Island,15.124,Heating oil
2035,Prince Edward Island,15.634,Heating oil
2036,Prince Edward Island,16.165,Heating oil
2037,Prince Edward Island,16.677,Heating oil
2038,Prince Edward Island,17.188,Heating oil
2039,Prince Edward Island,17.696,Heating oil
2040,Prince Edward Island,18.174,Heating oil
2041,Prince Edward Island,18.693,Heating oil
2042,Prince Edward Island,19.205,Heating oil
2043,Prince Edward Island,19.71,Heating oil
2044,Prince Edward Island,20.207,Heating oil
2045,Prince Edward Island,20.71,Heating oil
2046,Prince Edward Island,21.192,Heating oil
2047,Prince Edward Island,21.686,Heating oil
2048,Prince Edward Island,22.173,Heating oil
2049,Prince Edward Island,22.62,Heating oil
2050,Prince Edward Island,23.021,Heating oil
2005,Quebec,9.167,Electricity
2006,Quebec,10.738,Electricity
2007,Quebec,10.57,Electricity
2008,Quebec,10.422,Electricity
2009,Quebec,10.495,Electricity
2010,Quebec,10.354,Electricity
2011,Quebec,10.252,Electricity
2012,Quebec,10.212,Electricity
2013,Quebec,10.236,Electricity
2014,Quebec,10.331,Electricity
2015,Quebec,10.421,Electricity
2016,Quebec,10.372,Electricity
2017,Quebec,10.052,Electricity
2018,Quebec,9.979,Electricity
2019,Quebec,10.042,Electricity
2020,Quebec,10.033,Electricity
2021,Quebec,10.652,Electricity
2022,Quebec,11.149,Electricity
2023,Quebec,10.995,Electricity
2024,Quebec,10.953,Electricity
2025,Quebec,11.049,Electricity
2026,Quebec,11.178,Electricity
2027,Quebec,11.225,Electricity
2028,Quebec,11.276,Electricity
2029,Quebec,11.306,Electricity
2030,Quebec,11.309,Electricity
2031,Quebec,11.244,Electricity
2032,Quebec,11.43,Electricity
2033,Quebec,11.504,Electricity
2034,Quebec,11.581,Electricity
2035,Quebec,11.663,Electricity
2036,Quebec,11.675,Electricity
2037,Quebec,11.798,Electricity
2038,Quebec,11.845,Electricity
2039,Quebec,11.949,Electricity
2040,Quebec,11.994,Electricity
2041,Quebec,12.016,Electricity
2042,Quebec,12.107,Electricity
2043,Quebec,12.172,Electricity
